object_id,count_bhuvan_pixels,count_inundated_pixels,inundation_pct,inundation_intensity_mean,inundation_intensity_mean_nonzero,inundation_intensity_sum
09-193-00980,148532,3199,0.02153744647618022,0.005384361619045055,0.25,799.75
09-157-00820,188559,19,0.00010076421703551673,2.5191054258879182e-05,0.25,4.75
09-193-00978,359703,25113,0.0698159314768017,0.017453982869200423,0.25,6278.25
09-182-00925,485482,2900,0.005973444947495478,0.0014933612368738696,0.25,725.0
09-170-00871,719959,0,0.0,0.0,,0.0
09-193-00979,247294,17335,0.07009874885763503,0.01752468721440876,0.25,4333.75
09-188-00952,177713,7374,0.04149386932863662,0.010373467332159155,0.25,1843.5
09-184-00934,289370,0,0.0,0.0,,0.0
09-175-00891,330339,0,0.0,0.0,,0.0
09-150-00787,332909,18170,0.05457947967762962,0.013646371831341297,0.2500275178866263,4543.0
09-190-00961,167415,10126,0.060484424932055074,0.015121106233013768,0.25,2531.5
09-193-00975,163355,3514,0.02151143215695877,0.005377858039239692,0.25,878.5
09-192-00971,157492,2026,0.012864145480405353,0.0032160363701013383,0.25,506.5
09-188-00954,227200,29397,0.1293882042253521,0.032347051056338026,0.25,7349.25
09-153-00799,600756,14701,0.0244708334165618,0.008672822243972594,0.3544146656690021,5210.25
09-183-00928,527456,0,0.0,0.0,,0.0
09-188-00950,378900,6396,0.016880443388756928,0.004220110847189232,0.25,1599.0
09-754-00778,413294,565,0.001367065575595097,0.00034176639389877424,0.25,141.25
09-160-00834,219908,9165,0.04167651927169544,0.012291503719737345,0.2949263502454992,2703.0
09-164-00849,478213,1187,0.002482157532313007,0.0006205393830782518,0.25,296.75
09-153-00798,720203,54624,0.07584528251062547,0.028371514697939332,0.3740709212067955,20433.25
09-202-01012,405423,27594,0.06806224609851932,0.01701556152462983,0.25,6898.5
09-173-00883,338786,0,0.0,0.0,,0.0
09-187-00946,224671,274,0.0012195610470421194,0.00030489026176052985,0.25,68.5
09-191-00968,309591,0,0.0,0.0,,0.0
09-175-00889,330664,0,0.0,0.0,,0.0
09-197-00995,308644,0,0.0,0.0,,0.0
09-173-00882,498630,0,0.0,0.0,,0.0
09-156-00817,356910,0,0.0,0.0,,0.0
09-158-00825,434797,0,0.0,0.0,,0.0
09-176-00897,199909,11832,0.05918693005317419,0.01698897998589358,0.287039384719405,3396.25
09-176-00900,260918,6273,0.024042036195279743,0.010809909626779295,0.44962537860672724,2820.5
09-193-00977,237715,3023,0.01271690890351892,0.00317922722587973,0.25,755.75
09-163-00843,302821,10795,0.03564812215797451,0.008912030539493628,0.25,2698.75
09-175-00892,261816,0,0.0,0.0,,0.0
09-148-00776,246935,0,0.0,0.0,,0.0
09-171-00875,1053260,0,0.0,0.0,,0.0
09-189-00957,199858,0,0.0,0.0,,0.0
09-202-01010,278489,7516,0.026988498648061503,0.006747124662015376,0.25,1879.0
09-172-00879,551167,0,0.0,0.0,,0.0
09-167-00863,887820,0,0.0,0.0,,0.0
09-188-00953,227384,10263,0.04513510185413222,0.018208185272490587,0.40341518074637045,4140.25
09-186-00942,263107,1468,0.00557947907125238,0.001394869767813095,0.25,367.0
09-133-00710,201231,0,0.0,0.0,,0.0
09-142-00751,243375,0,0.0,0.0,,0.0
