object_id,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
09-144-00759,UTTAR PRADESH,Hathras,Hathras,0.0,0.0,,163,9,759,78,185773.75819127457,608465379.7286415,0.04479186997413635,0.029858857129179697,441,13.167755993968246
09-181-00924,UTTAR PRADESH,Shravasti,Ikauna,0.0,0.0,,181,9,924,290,246256.91281488098,764624621.9862597,0.035317331635952,0.025506334169647593,547,13.951964790797234
09-152-00796,UTTAR PRADESH,Shahjahanpur,Jalalabad,0.0,0.0,,180,9,796,132,287598.4784972026,1207465786.9591131,0.016425563287734986,0.011321916627115597,865,9.793457882454991
09-147-00773,UTTAR PRADESH,Firozabad,Jasrana,0.0,0.0,,143,9,773,96,211578.0969840703,1048127390.615976,0.04896915397644043,0.024522731810089092,746,18.293957930326464
09-161-00836,UTTAR PRADESH,Etawah,Jaswantnagar,0.0,0.0,,139,9,836,199,136676.10067413718,357941578.5227976,0.011840592575073243,0.005924737153481692,256,1.5167327112913132
09-704-00706,UTTAR PRADESH,Shamli,Kairana,0.0,0.0,,660,9,706,8,213890.56598065273,866534345.2569133,0.017554786586761476,0.0074388317646154395,612,4.552565039944649
09-146-00763,UTTAR PRADESH,Agra,MAHABAN,0.0,0.0,,118,9,0,85,5922.737495632088,569433.013079915,0.0023267493188381195,0.0023267493188381195,1,0.0023267493188381195
09-136-00728,UTTAR PRADESH,Rampur,Milak,0.0,0.0,,176,9,728,36,160168.52183873233,522958820.75711143,0.0422140565276146,0.03420146882469415,369,12.620341996312142
09-140-00738,UTTAR PRADESH,Ghaziabad,Modinagar,0.0,0.0,,145,9,738,57,148780.41284596163,592149740.4520664,0.028055199241638185,0.009766177944706148,415,4.052963847053051
09-135-00719,UTTAR PRADESH,Moradabad,Moradabad,0.0,0.0,,171,9,719,29,321562.99641972844,1011553458.2590029,0.024681109619140627,0.01904628802535421,716,13.637142226153614
09-132-00703,UTTAR PRADESH,Saharanpur,Nakur,0.0,0.0,,177,9,703,7,208398.9598181624,1157325510.350506,0.012543920397758484,0.0064829902387870675,811,5.257705083656312
09-152-00793,UTTAR PRADESH,Shahjahanpur,Powayan,0.0,0.0,,180,9,793,134,325505.0971670036,1645476218.937201,0.05911206588745117,0.03639809248156001,1173,42.69496248086989
09-136-00726,UTTAR PRADESH,Rampur,Rampur,0.0,0.0,,176,9,726,35,177503.20594866088,429484111.1518469,0.07635294585227967,0.021795747919215097,306,6.66949886327982
09-132-00705,UTTAR PRADESH,Saharanpur,Rampur Maniharan,0.0,0.0,,177,9,705,7,150206.79568106696,631828244.721079,0.004583340072631836,0.0016782856274421074,449,0.7535502467215063
09-144-00760,UTTAR PRADESH,Hathras,Sadabad,0.0,0.0,,163,9,760,79,192270.91456181055,594454500.2227658,0.04479186997413635,0.024082141787667266,419,10.090417409032584
09-132-00702,UTTAR PRADESH,Saharanpur,Saharanpur,0.0,0.0,,177,9,702,3,238816.45011611623,1058846811.2047111,0.012543920397758484,0.00574348841372374,740,4.250181426155567
09-136-00724,UTTAR PRADESH,Rampur,Tanda,0.0,0.0,,176,9,724,34,175171.97177447187,409495856.7092862,0.018972322177886965,0.01890362656523542,287,5.425340824222566
09-135-00717,UTTAR PRADESH,Moradabad,Thakurdwara,0.0,0.0,,171,9,717,26,225841.18367380888,728138088.4048432,0.018972322177886965,0.013144341446442036,518,6.8087688692569746
